Functional Loc,FLOC Type,Description,SupFunctLoc,SupFL Description,ABC Indic,Criticality Justification,PSRef,PSRef2,NEW PS Ref.,NEW PS Ref. 2,NL SCE
CHIS-C-CNEM-FLD,U_CL,ESD Field equipment,CHIS-C-CNEM,ESD / PSS / F&G System,I,Inherited from System 'CHIS-C-CNEM' Analysed Criticality Result,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDCAB,U_BOARD_D,EMS Marshalling Cabinets,CHIS-C-CNEM-FLD,ESD Field equipment,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDJB1,U_J_BOX,Junction Boxes Marshalling Bay C,CHIS-C-CNEM-FLD,ESD Field equipment,I,Agreed to be SCE-I review meeting 23/1/17,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDJB2,U_J_BOX,Junction Boxes Marshalling Bay D,CHIS-C-CNEM-FLD,ESD Field equipment,I,Agreed to be SCE-I review meeting 23/1/17,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDMPB,U_SAFETY,Manual Push Button,CHIS-C-CNEM-FLD,ESD Field equipment,I,Inherited from System 'CHIS-C-CNEM' Analysed Criticality Result,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDMPB-EHS92001,U_SWITCH,ESD Lev 1 PB Muster Area,CHIS-C-CNEM-FLDMPB,Manual Push Button,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDMPB-EHS92002A,U_SWITCH,ESD Lev 2 PB Cellar Deck,CHIS-C-CNEM-FLDMPB,Manual Push Button,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDMPB-EHS92002B,U_SWITCH,ESD Lev 2 PB Generator Area,CHIS-C-CNEM-FLDMPB,Manual Push Button,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDMPB-EHS92002C,U_SWITCH,ESD Lev 2 PB ESDV Deck,CHIS-C-CNEM-FLDMPB,Manual Push Button,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDMPB-EHS92003A,U_SWITCH,ESD Lev 2 PB Helideck East,CHIS-C-CNEM-FLDMPB,Manual Push Button,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDMPB-EHS92003B,U_SWITCH,ESD Lev 2 PB Weather Deck STH,CHIS-C-CNEM-FLDMPB,Manual Push Button,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNEM-FLDMPB-EHS92003C,U_SWITCH,ESD Lev 2 PB Helideck West,CHIS-C-CNEM-FLDMPB,Manual Push Button,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-FG,U_FLOC,Fire & Gas Systems,CHIS-C,Controls,I,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; High Level Fix,CH-PS05,,SECE04,,I
CHIS-C-FGAC,U_FG,F&G Action,CHIS-C-FG,Fire & Gas Systems,I,System Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGAC-SIG,U_FG,Signal Devices,CHIS-C-FGAC,F&G Action,I,Inherited from System 'CHIS-C-FGAC' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGAC-SIGAUD,U_FG,Audio Signals,CHIS-C-FGAC-SIG,Signal Devices,I,Inherited from System 'CHIS-C-FGAC' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGAC-SIGAUD-FA00101,U_FG,Platform Audible Alarm,CHIS-C-FGAC-SIGAUD,Audio Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGAUD-FA00102,U_FG,Platform Audible Alarm,CHIS-C-FGAC-SIGAUD,Audio Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGAUD-FA00201,U_FG,Platform Audible Alarm,CHIS-C-FGAC-SIGAUD,Audio Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGAUD-FA00202,U_FG,Platform Audible Alarm,CHIS-C-FGAC-SIGAUD,Audio Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGAUD-FA00203,U_FG,Platform Audible Alarm,CHIS-C-FGAC-SIGAUD,Audio Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGAUD-FA00401,U_FG,Platform Audible Alarm,CHIS-C-FGAC-SIGAUD,Audio Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGAUD-FA00501,U_FG,"Platform Audible Alarm, LER",CHIS-C-FGAC-SIGAUD,Audio Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGGAB,U_FG,General Alarm Beacon,CHIS-C-FGAC-SIG,Signal Devices,I,Inherited from System 'CHIS-C-FGAC' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGAC-SIGVIS,U_FG,Visual Signals,CHIS-C-FGAC-SIG,Signal Devices,I,Inherited from System 'CHIS-C-FGAC' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGAC-SIGVIS-FA00103A,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00103B,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00204A,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00204B,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00205A,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00205B,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00205C,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00206A,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00206B,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00206C,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00402A,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGAC-SIGVIS-FA00402B,U_FG,"Platform Visual Alarm, Amber",CHIS-C-FGAC-SIGVIS,Visual Signals,I,SCE Results in Agreement,CH-PS05,CH-PS10,SECE04,SECE09,I
CHIS-C-FGDT,U_FG,F&G Detection,CHIS-C-FG,Fire & Gas Systems,I,System Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH,U_FG,Hydrocarbon Detection,CHIS-C-FGDT,F&G Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH002,U_FG,"Gas Detectors, Zone 2",CHIS-C-FGDT-ABH,Hydrocarbon Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH002-GD00201,U_FG,"Gas Detector, Acoustic",CHIS-C-FGDT-ABH002,"Gas Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH002-GD00202,U_FG,"Gas Detector, Acoustic",CHIS-C-FGDT-ABH002,"Gas Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH002-GD00203,U_FG,"Gas Detector, Acoustic",CHIS-C-FGDT-ABH002,"Gas Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH002-GD00204,U_FG,"Gas Detector, Acoustic",CHIS-C-FGDT-ABH002,"Gas Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH002-GD00205,U_FG,Gas Detector,CHIS-C-FGDT-ABH002,"Gas Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH002-GD00206,U_FG,Gas Detector,CHIS-C-FGDT-ABH002,"Gas Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH002-GD00207,U_FG,Gas Detector,CHIS-C-FGDT-ABH002,"Gas Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH004,U_FG,"Gas Detectors, Zone 4",CHIS-C-FGDT-ABH,Hydrocarbon Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH004-GD00401,U_FG,Gas Detector,CHIS-C-FGDT-ABH004,"Gas Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH004-GD00402,U_FG,Gas Detector,CHIS-C-FGDT-ABH004,"Gas Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH004-GD00403,U_FG,Gas Detector,CHIS-C-FGDT-ABH004,"Gas Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH004-GD00404,U_FG,Gas Detector,CHIS-C-FGDT-ABH004,"Gas Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH005,U_FG,"Gas Detectors, Zone 5, LER",CHIS-C-FGDT-ABH,Hydrocarbon Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH005-GD00501,U_FG,Gas Detector,CHIS-C-FGDT-ABH005,"Gas Detectors, Zone 5, LER",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH005-GD00502,U_FG,Gas Detector,CHIS-C-FGDT-ABH005,"Gas Detectors, Zone 5, LER",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH005-GD00503,U_FG,Gas Detector,CHIS-C-FGDT-ABH005,"Gas Detectors, Zone 5, LER",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH005-GD00504,U_FG,Gas Detector,CHIS-C-FGDT-ABH005,"Gas Detectors, Zone 5, LER",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH005-GD00505,U_FG,Gas Detector,CHIS-C-FGDT-ABH005,"Gas Detectors, Zone 5, LER",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABH005-GD00506,U_FG,Gas Detector,CHIS-C-FGDT-ABH005,"Gas Detectors, Zone 5, LER",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-ABHPOR,U_FG,Portable Gas Detectors,CHIS-C-FGDT-ABH,Hydrocarbon Detection,I,Agreed to be SCE-I review meeting 23/1/17,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL,U_FG,Flame Detection,CHIS-C-FGDT,F&G Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002,U_FG,"Flame Detectors, Zone 2",CHIS-C-FGDT-BFL,Flame Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00201,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00202,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00203,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00204,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00205,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00206,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00207,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00208,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00209,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00210,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00211,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL002-IR00212,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL002,"Flame Detectors, Zone 2",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL004,U_FG,"Flame Detectors, Zone 4",CHIS-C-FGDT-BFL,Flame Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL004-IR00401,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL004,"Flame Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL004-IR00402,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL004,"Flame Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BFL004-IR00403,U_FG,IR Flame Detector,CHIS-C-FGDT-BFL004,"Flame Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BHE,U_FG,Heat Detection,CHIS-C-FGDT,F&G Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BHE004,U_FG,"Heat Detectors, Zone 4",CHIS-C-FGDT-BHE,Heat Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BHE004-HF00401,U_FG,Heat Detector,CHIS-C-FGDT-BHE004,"Heat Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BHE004-HF00402,U_FG,Heat Detector,CHIS-C-FGDT-BHE004,"Heat Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BMA,U_FG,Manual Alarm,CHIS-C-FGDT,F&G Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM,U_FG,Smoke Detection,CHIS-C-FGDT,F&G Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM004,U_FG,"Smoke Detectors, Zone 4",CHIS-C-FGDT-BSM,Smoke Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM004-SD00505,U_FG,Ionisation Smoke Detector,CHIS-C-FGDT-BSM004,"Smoke Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM004-SD00506,U_FG,Ionisation Smoke Detector,CHIS-C-FGDT-BSM004,"Smoke Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM004-SD00507,U_FG,Ionisation Smoke Detector,CHIS-C-FGDT-BSM004,"Smoke Detectors, Zone 4",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM005,U_FG,"Smoke Detectors, Zone 5",CHIS-C-FGDT-BSM,Smoke Detection,I,Inherited from System 'CHIS-C-FGDT' Analysed Criticality Result,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM005-SD00501,U_FG,"Ionisation Smoke Detector, EOA",CHIS-C-FGDT-BSM005,"Smoke Detectors, Zone 5",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM005-SD00502,U_FG,"Ionisation Smoke Detector, LER",CHIS-C-FGDT-BSM005,"Smoke Detectors, Zone 5",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM005-SD00503,U_FG,"Ionisation Smoke Detector, LER",CHIS-C-FGDT-BSM005,"Smoke Detectors, Zone 5",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-FGDT-BSM005-SD00504,U_FG,"Ionisation Smoke Detector, LER",CHIS-C-FGDT-BSM005,"Smoke Detectors, Zone 5",I,SCE Results in Agreement,CH-PS05,,SECE04,,I
CHIS-C-NA,U_FLOC,Navigation,CHIS-C,Controls,I,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; High Level Fix,CH-PS12,,SECE11,,I
CHIS-C-NAAD,U_FLOC,Navigation Aids,CHIS-C-NA,Navigation,I,System Analysed Criticality Result,CH-PS12,,SECE11,,I
CHIS-C-NAAD-CEN,U_FLOC,NA Central Equipment,CHIS-C-NAAD,Navigation Aids,I,Inherited from System 'CHIS-C-NAAD' Analysed Criticality Result,CH-PS12,,SECE11,,I
CHIS-C-NAAD-CENPNL,U_BOARD_D,NA Panels,CHIS-C-NAAD-CEN,NA Central Equipment,I,Inherited from System 'CHIS-C-NAAD' Analysed Criticality Result,CH-PS12,,SECE11,,I
